2025/06/16 02:09:23.237555 [Debug] app/log: Logger started
2025/06/16 02:09:23.237633 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:09:23.237644 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:09:23.241086 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:09:23.405536 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:09:23.406548 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:09:23.406568 [Warning] core: Xray 25.6.8 started
2025/06/16 02:10:11.205190 [Debug] app/log: Logger closing
2025/06/16 02:10:58.801148 [Debug] app/log: Logger started
2025/06/16 02:10:58.801197 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:10:58.801211 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:10:58.801630 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:10:58.849143 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:10:58.849171 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:10:58.849177 [Warning] core: Xray 25.6.8 started
2025/06/16 02:16:47.163914 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.177666 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.179862 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.292660 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.343457 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.626065 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:47.945673 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.062211 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.102673 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.109669 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.110161 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.164055 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.168461 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.257361 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.500436 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.545724 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.842504 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:48.848721 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.121055 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.375991 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.441059 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.756723 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.777356 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:49.845256 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:50.120433 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:50.445336 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:50.693179 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:50.783872 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.107068 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.165635 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.327147 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.334820 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.341795 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.407496 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.496999 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.650520 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:51.717800 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.007121 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.020726 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.020765 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.023376 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.323168 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.329507 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.621851 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.721875 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.733407 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.843622 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:52.959168 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.014912 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.272830 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.382050 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.565437 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.586248 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.597389 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.684580 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.715168 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.725038 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:53.907962 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.010433 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.129853 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.155096 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.163661 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.212516 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.519074 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.592066 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.603169 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:54.840884 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:55.087451 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
